"AUT","Test","Category","Expected","Actual","Description","Result","Value"
"ada62","err_equalequal_left_assoc.pika","expressions","Jun 14, 2020 2:03:00 PM logging.PikaLogger log
SEVERE: operator == not defined for types [BOOLEAN, INTEGER] at (..\pika0point2\input\pika-1\expressions\err_equalequal_left_assoc.pika line 2, character 15)
program has errors.  no executable created.
","Jun 14, 2020 2:16:09 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\expressions\err_equalequal_left_assoc.pika line 2, character 20) expecting print separator
Jun 14, 2020 2:16:09 PM logging.PikaLogger log
SEVERE: operator == not defined for types [BOOLEAN, INTEGER] at (..\pika0point2\input\pika-1\expressions\err_equalequal_left_assoc.pika line 2, character 15)
program has errors.  no executable created.
","","PASS","0.5526315789473685"
"ada62","good_associativity.pika","expressions","12 -6 4
-5
","12 -6 4
-5
","","PASS","0.5526315789473685"
"ada62","good_boolCast1.pika","expressions","2 true
","2 true
","","PASS","0.5526315789473685"
"ada62","good_boolCast2.pika","expressions","0 false
","0 false
","","PASS","0.5526315789473685"
"ada62","good_boolCast3.pika","expressions","-4 true
","-4 true
","","PASS","0.5526315789473685"
"ada62","good_boolCast4.pika","expressions","X true
","X true
","","PASS","0.5526315789473685"
"ada62","good_boolCast5.pika","expressions","0 true
","0 true
","","PASS","0.5526315789473685"
"ada62","good_boolCast6.pika","expressions","  false
","  false
","","PASS","0.5526315789473685"
"ada62","good_boolCast7.pika","expressions","true true
","true true
","","PASS","0.5526315789473685"
"ada62","good_booleanComparisons.pika","expressions","==
  true
  false
  false
  true

!=
  false
  true
  true
  false

","==
  true
  false
  false
  true

!=
  false
  true
  true
  false

","","PASS","0.5526315789473685"
"ada62","good_characterCast1.pika","expressions","x 15096
x
","x 15096
x
","","PASS","0.5526315789473685"
"ada62","good_characterCast2.pika","expressions","127 127
","127 127
","","PASS","0.5526315789473685"
"ada62","good_characterCast3.pika","expressions","t t
","t t
","","PASS","0.5526315789473685"
"ada62","good_charComparisons.pika","expressions","<
  true
  false
  false

<=
  true
  true
  false

>
  false
  false
  true

>=
  false
  true
  true

==
  false
  true
  false

!=
  true
  false
  true

","<
  true
  false
  false

<=
  true
  true
  false

>
  false
  false
  true

>=
  false
  true
  true

==
  false
  true
  false

!=
  true
  false
  true

","","PASS","0.5526315789473685"
"ada62","good_divide1.pika","expressions","2
","2
","","PASS","0.5526315789473685"
"ada62","good_divide2.pika","expressions","23.8378
","23.8378
","","PASS","0.5526315789473685"
"ada62","good_divide3.pika","expressions","-2
","-2
","","PASS","0.5526315789473685"
"ada62","good_divide4.pika","expressions","2
","2
","","PASS","0.5526315789473685"
"ada62","good_equalequal_left_assoc1.pika","expressions","true
false
false
true
false
true
true
false
","","ASM file not generated 'output\ada62\expressions\good_equalequal_left_assoc1.asm'.","FAIL","0.0" THIS IS FIXED
"ada62","good_equalequal_left_assoc2.pika","expressions","false
true
","","ASM file not generated 'output\ada62\expressions\good_equalequal_left_assoc2.asm'.","FAIL","0.0" THIS IS FIXED
"ada62","good_floatCast1.pika","expressions","2 43.21
","2 43.21
","","PASS","0.5526315789473685"
"ada62","good_floatCast2.pika","expressions","2.2 43.41
","2.2 43.41
","","PASS","0.5526315789473685"
"ada62","good_floatComparisons.pika","expressions","<
  true
  false
  false

<=
  true
  true
  false

>
  false
  false
  true

>=
  false
  true
  true

==
  false
  true
  false

!=
  true
  false
  true

","<
  true
  false
  false

<=
  true
  true
  false

>
  false
  false
  true

>=
  false
  true
  true

==
  false
  true
  false

!=
  true
  false
  true

","","PASS","0.5526315789473685"
"ada62","good_intComparisons.pika","expressions","<
  true
  false
  false

<=
  true
  true
  false

>
  false
  false
  true

>=
  false
  true
  true

==
  false
  true
  false

!=
  true
  false
  true

","<
  true
  false
  false

<=
  true
  true
  false

>
  false
  false
  true

>=
  false
  true
  true

==
  false
  true
  false

!=
  true
  false
  true

","","PASS","0.5526315789473685"
"ada62","good_integerCast1.pika","expressions","3.1415 3
","3.1415 3
","","PASS","0.5526315789473685"
"ada62","good_integerCast2.pika","expressions","a 97
","a 97
","","PASS","0.5526315789473685"
"ada62","good_integerCast3.pika","expressions","3.9427 3
","3.9427 3
","","PASS","0.5526315789473685"
"ada62","good_integerCast4.pika","expressions","-3.9427 -3
","-3.9427 -3
","","PASS","0.5526315789473685"
"ada62","good_integerCast5.pika","expressions","42 42
","42 42
","","PASS","0.5526315789473685"
"ada62","good_negativeIntegersAndDivision.pika","expressions","-40 -40
","-40 -40
","","PASS","0.5526315789473685"
"ada62","good_notequal_equal_left_assoc.pika","expressions","false
true
true
false
true
false
false
true
","","ASM file not generated 'output\ada62\expressions\good_notequal_equal_left_assoc.asm'.","FAIL","0.0" THIS IS FIXED
"ada62","good_parentheses1.pika","expressions","23 35 35
","23 35 35
","","PASS","0.5526315789473685"
"ada62","good_parentheses2.pika","expressions","-18.2543 -5.85117 -5.85117
","-18.2543 -5.85117 -5.85117
","","PASS","0.5526315789473685"
"ada62","good_parentheses3.pika","expressions","-6 4 4
","-6 4 4
","","PASS","0.5526315789473685"
